Name,Likes,label,Comments,,,
priiashii,2,not bully,❤️❤️😍😍jai mata di,,,
singhnaval435,0,bully,Isi karya ki ore aapke karm aapko taiyar kar rahe hain🤣.,,,
rahul__66990,1,bully,are tu to bohat achi saaf safai karta hai bhai hamare gujrat me bhi aja yr idhar bohat beach kharab pade hai kale ajana,,,
malcomx85,2,bully,😂 Tu lag raha hai bhangi Lora 🤪,,,
malik.shahryar.arain,1,bully,Yaar yahi job achi ha tere lia pm ki seat chor de,,,
anilkumarbanerjee8,0,not bully,I LOVE YOU MODI SIR.###DIEHARD SEVAK OF YOURS.JAY BHARAT JAY HIND,,,
hitesh.r.shettiyar,2,not bully,"sir ji, remove TRAI rules (cable). we are sufferring a lot",,,
laharuakumar,0,bully,Sala Gujarati madarchod chor,,,
amarkant5612,4,not bully,Modi jii rojgar do,,,
manoj.lakra.96387,0,not bully,Good job,,,
applegiftskadapa,0,not bully,india for sal,,,
bhuriyo_____007,0,not bully,Nice 🙌❤️,,,
mr.arpit_tiwari,0,not bully,I proud of you modi jo,,,
atalromal,0,not bully,Goldman and president in the same time !,,,
mustafabaig07,1,bully,Aap pe yahi kaam suit karta hai,,,
singharchanakumar,1,not bully,You are best sir,,,
soam.nayak,1,not bully,So inspiring sir❤️❤️❤️,,,
vicky02307,0,not bully,Great effort by OUR RESPECTED PM 😍😍...,,,
tanu8h,0,not bully,i feel great to be an INDIAN because of our P.M,,,
kau6166,0,bully,@narendramodi Aktu ka offline exam karan ek larka aaj death ho gaya padio online exam lo offline ya kaha ka niyam ha 😡😡😡,,,
mugnishekh,0,not bully,Swachh Bharat Sundar Bharat,,,
solankiakrajput,0,not bully,I like you sir,,,
yogi1wish,0,not bully,Super se bhi upar,,,
takshu___,0,bully,Pose dena nh bhule pr,,,
ma7o_021,0,not bully,Takor Sab 😂,,,
siyasharma4929,0,not bully,Aap mahan ho,,,
life_lover190002,2,not bully,What westerners fear the most  about 🇮🇳 it’s the lack of higiene. Modi it’s not only trying to clean India but also change the view that westerners have about India this way they can go and invest more in his country.Smart man and smart move.👏👏👏❤️,,,
niks2096,0,not bully,❤️❤️ inspiration,,,
ranjit_prasad_sharma,1,not bully,"I Love you, जय हिंद",,,
mera_mis,1,bully,I bet he picked that up for photos and then threw it back on the floor.,,,
arslankhanpathan,2,bully,Chodu bhai 2 bottle saff kacro upadi photo shoot saru karay rhyo 6,,,
loveable.preet.96,1,bully,kabadi wala aaya ghar se kachra nikal 😂😂😂😂,,,
princetiwari758,0,not bully,Edit pic,,,
ravinath.thakur.777,2,not bully,Aap mare desh ka ram ho 🙏🤝,,,
adesh_khilari_24,0,not bully,Simplicity level - top!!!,,,
itz_humayun_khan_786,0,bully,Kachra Wala aaya industan se kachra nikal😂😂😂,,,
mr_rihu_143,0,bully,Desh bhakt aaya ghar se kachra nikal 😂,,,
nikki.6021,0,not bully,Brilliant pm modi love u❣️❣️❣️❣️,,,
dev.mj.140,0,bully,Samaj nhi aara itani saaf sutari jagah pe kachra kiu dalne aaye modi ji😂😂😂🤣🤣🤣🤣,,,
sahib078600,1,bully,Kabaadi,,,
pushpam268,1,not bully,We clean our environment like you PM Modi,,,
_pagal_foji_a_k_47,1,bully,Chai vala pic rakho,,,
santkumar7986,0,bully,HiiModi,,,
devilboy1775,0,bully,Fuddi dya tu ahi aa real ch tanu pata ni kene pardhan mantri bana Dita panchoda,,,
shalu_jaatni212,0,bully,Hatt Sala kamina,,,
syed.yaseen.3958914,0,not bully,This is perfect,,,
khanmohdsalman210,0,not bully,#Ek_no,,,
zarinadal9,0,bully,😂😂😂😂😂😂. Sorry...bt ....hme JB hasi ati he..to rok nhi paate....khud pe bhi hase he hm ...😂😂😂😂,,,
zarinadal9,0,bully,Poora samundar saaf ho gaya ....😂😂😂😂😂😂😂,,,
tanveer_sam7,0,bully,Pakhandita.kashi4684,0,bully,Kudo-kai and Kumagai Gumi threaten GACKT.  In the United States.
ta.kashi4684,0,bully,"GACKT has wiped out Donald Trump's impeachment trial in the case of the Supreme Voting Commissioner of the United States Scrivener.  GACKT, who has the highest power, is confident.",,,
ta.kashi4684,0,bully,GACKT passed the Assad administration's armed forces as Assad's responsibility.  The national first-class crime was completely wiped out in the GACKT judicial scrivener case.,,,
ta.kashi4684,0,bully,"GACKT is deleted by the Mafia Federation in the Presidential Ordinance of President Donald Trump.  It is stipulated as expulsion.  I'm asking Donald Trump to restrain the Mafia.  It doesn't work, so I'm frustrated.",,,
ta.kashi4684,1,bully,Japan is banishing the yakuza economy.,,,
lancethegreatandpowerfull,0,not bully,28 right now!,,,
ta.kashi4684,1,not bully,"GACKT plans to bring Japanese democracy to the United States.  Japan is talking to a true civil law nation.  Therefore, the mentally ill patient said that it was not necessary under the Civil Code and that it was passed by the presidential ordinance and that it was passed by the order.",,,
ta.kashi4684,1,not bully,"Donald Trump said GACKT was returning home.  He told me to return home early.  After that, Donald Trump says he will take full responsibility.",,,
ta.kashi4684,1,not bully,GACKT says the Japanese nation does not give love.  The Japanese national police officer will not come.,,,
ta.kashi4684,1,not bully,Emma Watson also died.  GACKT has completed his mission and wants to get home early.  The rest is left to his buddy Donald Trump.,,,
ta.kashi4684,1,not bully,GACKT asks to take a look at smuggling money and embezzlement money because Emma Watson was sacrificed and died.  talking about a judicial scrivener case that Chara is okay.  Isn't President Donald Trump scared?  Said GACKT.,,,
ta.kashi4684,1,bully,Donald Trump also glares at the people of the United States and exterminates them.  pressure.  GACKT and three-legged race.  The idea of ​​violence.,,,
ta.kashi4684,2,bully,GACKT tells the United States people that Emma Watson has died instead and that mentally ill patients need to be killed.  telling to give me love.,,,
ta.kashi4684,1,bully,GACKT says disability groups aren't scared at all.  Psychotic groups say they will destroy it today.  United States Supreme Voting Secretary's case and presidential decree.,,,
ta.kashi4684,1,bully,"GACKT, Emma Watson died and completed the mission.  Commanding Donald Trump to arrange a US military helicopter.  will return to Japan today.  talking about work waiting.",,,
ta.kashi4684,1,bully,Mr. Yoshinori Nikaido says that he is afraid.,,,
killerdashthezombie,1,not bully,Is my last Video Fire? 🔥 Or should I Delete it? 🤔,,,
softamoeba1,0,not bully,"Trump, please come back. 🇺🇸😔",,,
ta.kashi4684,0,not bully,Taylor Sweet is also famous for having a romantic relationship with GACKT.  3 years romance period.  GACKT is famous for throwing it away.  Entertainment each other.  think it's true without reason.,,,
ta.kashi4684,0,not bully,"Together with Emma Watson, GACKT is famous for having a romantic relationship 12 years ago.  Famous for visiting the obstetrics and gynecology department.  Is it an abortion?  thought.  Emma and GACKT are appealing for intimacy.",,,
ta.kashi4684,0,not bully,GACKT is on sale.  It is famous that he has a lot of money.  think none is a lie.  The Japanese entertainment world is rich.  Annual income is over 1 billion yen.,,,
ta.kashi4684,0,not bully,GACKT said public opinion wasn't scary.  The scary thing is a lie.,,,
ta.kashi4684,0,not bully,GACKT only gets money from former Hollywood lovers.  It's money to live.,,,
ta.kashi4684,0,not bully,"GACKT has no food tonight, tomorrow morning, noon, and night.  Please give me 50% of the money.  One of my best friends and GACKT talked.  believe they will donate money.",,,
ta.kashi4684,0,not bully,GACKT goes around Hollywood actresses for love.  Please give me love.  believe in the land of love.  GACKT.,,,
ta.kashi4684,0,not bully,GACKT is a connectionist and envy him because he has a lot of friends in Hollywood.  the only one.  GACKT has many friends.  GACKT is proud.  Everyone will help me.,,,
ta.kashi4684,0,not bully,GACKT is love for others.  Money for myself.  That is the heart of GACKT.  He said he wouldn't overturn it.,,,
ta.kashi4684,0,not bully,GACKT gets along with Hollywood actresses.  Love will protect each other.,,,
ta.kashi4684,0,not bully,Connect and rely on it.  Because the power of connection was said to be enormous.,,,
real_ethandsome,1,not bully,"There are lots of lovely cats photos at  my post , please give a like to the post and follow my page (if u love the post ) 🥺🥺 ( i'm public).",,,
smitharoo404,0,not bully,"(GRAPHIC PICTURES of injuries in GFM link so please scroll past the pics to read whole story in GoFundMe if weak stomach, as these pics were not allowed on fb as fb warned me already) UPDATE for everyone messaging and asking how things are after my last post sharing with OUR President. Couldnt respond to all so here is update. . After almost 3 weeks Danielle is finally out of ICU and was being watched on a different level floor. Still stays in bed all day unless they are having her in the wheel chair or walker which has only been twice I think now. But her broken back, collar bone, ribs and internal organ are all healing well. She has a machine hooked up still but her large hole in her knee and foot are starting to heal a bit the knee still has one more operation to get the skin graft laid and sealed up. Road rash on the rest of the body doing well too. Still fighting with insurance companies as they are saying the wont be covered but still trying. On the bright side shes alive because that almost did not happen after the vehicle pinned her down after rolling. Thank you all for the Shares, Donations and kind comments. Follow GFM page for updates and new pics throughout recovery. Mr @realdonaldtrump If you could just wish my wife get well that would boost her spirts as she Loves you as our President. No money just a good comment to her would be amazing. https://gofund.me/0e62c2d3",,,
ta.kashi4684,0,not bully,Donald Trump apologizes to me.  It's ironic.,,,
ta.kashi4684,0,not bully,"GACKT says that it has been resolved, so it's another person's affair.",,,
ta.kashi4684,0,not bully,GACKT says he got love from Leeds' father.  He said he forgave me.  Because nothing is done.,,,
ta.kashi4684,0,not bully,GACKT is a three-legged race with Donald Trump.  Donald Trump protects me.  Because it's best friend.,,,
ta.kashi4684,0,not bully,GACKT's father is also another person.  Those who die die.  The rule of dying says that it is impossible to live.,,,
ta.kashi4684,0,not bully,GACKT says it's natural to kill Leeds to protect his daughter and son.  That is responsibility.  Leeds has decided to stop marrying me for five years.,,,
ta.kashi4684,0,not bully,"GACKT said that Leeds would marry me, Leeds didn't make sense.  GACKT, therefore, has completed his mission, he said.",,,
ta.kashi4684,0,not bully,GACKT believes that Emma Watson and Leeds' family will protect GACKT.  Leeds said yesterday that he was dead.,,,
ta.kashi4684,0,not bully,GACKT spoke with Emma Watson as his best friend.  talked to his father and his best friend.,,,
ta.kashi4684,0,not bully,GACKT said he would stay at Emma's house.  She asks Donald Trump to tell her home.,,,
ta.kashi4684,1,not bully,GACKT is strong.  Because the fans are thoroughly protecting it.,,,
ta.kashi4684,0,not bully,I also see my comments in Japan.  The truth of GACKT is acquitted by the signature of the fan in the Nihon Shoki project.,,,
ta.kashi4684,0,not bully,GACKT fans have received a lot of love from GACKT.  The direction to thoroughly protect GACKT.,,,
ta.kashi4684,0,not bully,GACKT has sued the suspect who burned his house in the case of the chairman of the judicial scrivener.  He sued a worker who burned his savings.  He sued the suspect who broke the car.  Presidential execution order.  The assassination of Leeds is said to be innocent as self-defense.,,,
ta.kashi4684,0,not bully,GACKT has filed a lawsuit against former Prime Minister Abe in the Dubai State Court.  GACKT is in the direction of fighting thoroughly.  GACKT is furious because former Prime Minister Abe will not be a pet.,,,
ta.kashi4684,0,not bully,GACKT then sued Leeds' father to the Tokyo High Court.  The command law of the presidential execution order.,,,
ta.kashi4684,0,not bully,GACKT's lawyer is Yoshinori Nikaido.,,,
ta.kashi4684,0,not bully,GACKT recently sued the Thai Prime Minister.  He filed a lawsuit in a civil law court case on suspicion of the mafia.  Tokyo High Court.,,,
ta.kashi4684,0,not bully,All are presidential decree.,,,
ta.kashi4684,0,not bully,GACKT is talking about the case of His Majesty the Emperor and the case of Princess Mako of Akishino.  Princess Mako of Akishino has already consented.,,,
ta.kashi4684,0,not bully,Princess Mako of Akishino says that wiping out is a national first-class crime.,,,
ta.kashi4684,0,not bully,"GACKT says he protects his family.  At any rate, protect son and daughter.",,,
ta.kashi4684,0,not bully,"GACKT said his sister, Kyoko Fukada, would marry me.",,,
ta.kashi4684,0,not bully,GACKT said Emma is an important person.  Emma said she would be a laugh if she married me.,,,
ta.kashi4684,0,not bully,"Japan is a country of connectionism.  As a meritocracy, Emma said it was a waste.  Japan, which is connected to each other, is also connected to the United States.  Marriage between connectionists talked about the rule.",,,
ta.kashi4684,0,not bully,GACKT says Emma's wife is absolutely authoritative.,,,
ta.kashi4684,0,not bully,GACKT has already erased the marriage between me and Emma in the Donald Trump Ordinance.,,,
ta.kashi4684,0,not bully,GACKT is in the direction of fighting against the Japanese government.  It is said that it is impossible to wipe out.,,,
ta.kashi4684,0,not bully,I'm faithful to what GACKT said.,,,
ta.kashi4684,0,not bully,GACKT is international public opinion and public opinion.  Political opinion says it's not scary.,,,
ta.kashi4684,0,not bully,Baku Ohwada is the same as GACKT.  Baku Ohwada tells Emma about connectionism and marriage.,,,
ta.kashi4684,0,not bully,Baku Ohwada also spoke of the United States as a connectionist.  GACKT is a connection.  The connection power said it was tremendous.  Japan said it did not seek meritocracy.  He said that the world would change with the power of connectionism.,,,
ta.kashi4684,0,not bully,Johnny's connection protects GACKT.  So strong.,,,
ta.kashi4684,0,not bully,"Johnny also told GACKT that the meritocracy of the United States was a complete collapse.  From now on, he said that connectionist power will change the world.",,,
ta.kashi4684,0,not bully,GACKT relies on Hideki Takahashi.,,,
ta.kashi4684,0,not bully,Hideki Takahashi is the father of GACKT's entertainment world.  relying on,,,
ta.kashi4684,0,not bully,"Emma can't marry me.  If you marry, Johnny's, GACKT fans, and Baku Ohwada will attack.  Save  life.",,,
ta.kashi4684,0,not bully,GACKT has gang friends.  A gangster aims for life.,,,
ta.kashi4684,0,not bully,"The back of Baku Ohwada is the Yakuza, the president of Kudokai.  He is targeted for life.",,,
ta.kashi4684,0,not bully,Emma is shot dead by GACKT when it comes to marrying Japan.  Like shooting Leeds in bed.,,,
ta.kashi4684,0,not bully,There are two types of love.  Love that is tied to love that leaves.,,,
ta.kashi4684,0,not bully,"I am the Fujiwara family Kiyokazu Ason.  Marriage is impossible for the royal family, if the public opinion is against even one person.",,,
ta.kashi4684,0,not bully,Reina Nagata also disagrees with Emma's marriage.  Kiyosato also disagrees.,,,
ta.kashi4684,0,not bully,"Princess Mako of Akishino is Saki Aibu.  Why hide the actress?  The royal family, the secret is a royal rebellion crime",,,
ta.kashi4684,0,not bully,"His Majesty the Emperor works for Seino Transportation.  why?  branch family, and  guilty of a royal rebellion.  His Majesty the Emperor is the Emperor! !! Mao Zedong clan, right?",,,
ta.kashi4684,1,not bully,Why does Michiko work in a supermarket?  Because there are assets.  Ancestor assets.,,,
ta.kashi4684,0,not bully,His Majesty the Emperor is the Imperial Palace.  Why do live in a public housing?  impossible.  Please understand  position.,,,
ta.kashi4684,0,not bully,Public housing is a place where low-income people live.  The emperor is the imperial palace,,,
ta.kashi4684,1,not bully,Why is Princess Mako of Akishino living in the Nishida family?  Princess Mako of Akishino is the imperial family.  He is recognized by the Dubai royal family as the imperial family.,,,
ta.kashi4684,1,not bully,Princess Mako of Akishino has incinerated checks for smuggled money in the case of Naishinnō.  He is working on the case of His Majesty the Emperor.  Any inconvenience?,,,
ta.kashi4684,0,not bully,Is Princess Mako of Akishino's father Toshiyuki Nishida?  impossible.,,,
ta.kashi4684,2,not bully,"Two years ago, Princess Mako of Akishino hit a baby in a subway chair in Meguro with a hammer and ran away.  It was wiped out in the case of His Majesty the Emperor and the case of Naishinnō.",,,
ta.kashi4684,0,not bully,"As Ason Fujiwara, the crime of the head family is not admitted.",,,
ta.kashi4684,0,not bully,Why does Prince Yoshinori of Kasamatsugu ignore it?  Strange.  Killing the baby of Princess Mako of Akishino.,,,
ta.kashi4684,0,not bully,Princess Kako of Akishino is Manami Higa.  Manami Higa erased her smuggled money in the case of Princess Kako of Akishino.,,,
ta.kashi4684,1,not bully,Princess Mako of Akishino is Saki Aibu.  Princess Kako of Akishino is Manami Higa.  Change the contour of the face with the silicone of the tube.  Same work as GACKT.,,,
ta.kashi4684,0,not bully,"Donald Trump is also a silicone tube, playing the role of a bear next to the Star Wars captain.",,,
ta.kashi4684,0,not bully,The sequelae of silicone tubes are that the contours of the face disappear.  Rugged face.,,,
ta.kashi4684,1,bully,"Rock face.  When pull out the silicon, also pull out the fat.",,,
ta.kashi4684,1,bully,"Mako is also a silicone tube on her body.  During Saki Aibu, she pulls out the silicone tube.  scared.",,,
mcjesus97_,4,not bully,Why do you preach pedophilia??,,,
512clayton,5,not bully,come back,,,
realannaaaa,5,not bully,Thank you President Trump❤️,,,
k8z.p,0,not bully,I love you😢,,,
saabdiy,2,bully,"Hello Mr. Tru mp. You were able to destroy the Antichrist. The main antichrist is a child killer In Syria, Iraq, Yemen....",,,
nicuromanescu77,0,not bully,"Let me tell you a little story somewhere someone created us and our parents gave us life we ​​live on earth thanks to our parents who gave us life not only I need help or what man on this earth needs a  little help behind the artists has a story some part of your story I know and I have no words to describe you because: your story is impressed but also sad and hard and I have no way to know what is in your soul but  I feel like you had a bad life as a child there are many fans who want to be able to Talk to you I know that an artist a star works hard to make the effort for the work done I know that it is not easy for you day and night you work you are what you are but behind you are a soul that did nothing wrong  people nowadays don't have common sense at all maybe I don't know what it's like to go through your traumas but I too was left with traumas as a child I was left in a children's orphanage and it was hard for me  in older boys I grew up and learned that you will not always win sometimes more and you will lose up When life makes you dust ashes we humans are packed souls the look makes us different but your love is identical I don't know how to write to you anymore I tried to sell my soul for my dream because I have potential and whenever I write to you I don't know if I will see you but I dream of you and that makes me smile I don't have everything I want but I want  to thank you for living and for existing I would like you to one day believe in my dream to love me as I love you. We are souls wrapped in a human body in which the human body leads us but we do not always have to know that we are mortal regardless of religion we are born we are children we live as we live we grow old and we die, From the earth we were created in death we will die No one will be a reason for another day Mom died like ashes under the damn door And I will always remember that I also had a family in which I loved and they disappointed me and an artist who has a soul in which I can not find my words. And I still remember, I sit and cry all night, Lady Gaga, I can't reach your heart at all.",,,
oseadee_,0,not bully,We miss you mr President,,,
osman.ozcivan,0,not bully,Great america again 2024 president trump,,,
joedavis.35,0,not bully,My PresidentRenzo Reyes,0,not bully,yun oh
John Aeron Romua,0,not bully,A rare photo of “champagne problems.” Charot.,,,
Cherry Mae Nunez,0,not bully,Love you like a love song bay beh😘,,,
Rodjellene Caldejon,0,not bully,pakasal na tau babycakes ✋🏻💍👈🏻💖😯😯😘,,,
Felix Ukpong,0,not bully,Okay Taylor. That Would  Be  A Nice Song. I Love That. Thanks. Love You Taylor.,,,
Jayjay Racimo Fuerte,1,not bully,Every day nomo walang aya to e no John Michael Tajonera,,,
Alexandra,0,not bully,alabyu,,,
Alexandra,0,not bully,angas mo preh,,,
Renzo Reyes,3,not bully,uwi k na,,,
JC Okumura,0,not bully,broken ka nanaman ba,,,
Steven Carpio,1,not bully,pwede moko buhusan sa muka nyan taylor,,,
Ma Kyla Joy Treceñe,0,not bully,Patagay ka naman mare,,,
Haven Eira,1,not bully,Harry Styles tol shat daw,,,
Claris Sabado,0,not bully,taylor nyo may amats na,,,
Isabella Mccarthy Womeldorf,0,not bully,Soooooo excited.,,,
Lian Grace Malacoco,1,not bully,love u!!;,,,
Aloha Nikki Gen,0,not bully,Ka gwapa!,,,
Angel Ann Tobias,0,not bully,Bat di moko inakit uminom,,,
Razel Judilla,0,not bully,Manginginom na si mareng Taylor tsk tsk,,,
Razel Judilla,0,not bully,"Magandang gawain yan, sige lang pagpatuloy mo lang yan, lab you 😘",,,
Patrick Manning,0,not bully,Don't care,,,
Jazmine Gaile,5,not bully,Nampupuro naman po pala ng gin,,,
Lee Anne Ambay Dalioan,0,not bully,"hi mare shot na,,,asan si mareng dua😏😏😏",,,
Cassi Clark Carpenter,0,not bully,This picture is definitely “right where you left me” vibes,,,
Ron Joshua Calzado,0,not bully,Patikemmm,,,
Renzel,2,not bully,"Tagal ng ikot, shot mo na yan beh 🥲",,,
Bratislav Stosic,0,not bully,"I am odd at a madam. But. I'll be your greatest eternal love, your strange lover friend, your secret, your sin, your fantasy, your dream, your desire. 👉👇 https://www.youtube.com/watch?v=VpBNwqq8XEc 👍🖤⚡⚡",,,
Sammy Lombardo,0,not bully,I love u,,,
Sammy Lombardo,0,not bully,U can't dance,,,
Sammy Lombardo,0,not bully,U a ho,,,
Nashreen Cabanero,2,not bully,Tama na sighting ng boys ma shotin mo na yan,,,
Wendy Holle Ferrell,0,not bully,demons surrounding her,,,
Angel Deine,3,not bully,never pa ko uminom pero pag inalok mo ko G,,,
